id,product_name,department_name,price,stock_quantity
1,Wine - Prem Select Charddonany,Home,82.14,87
2,Soho Lychee Liqueur,Music,71.40,21
3,Wine - Sogrape Mateus Rose,Electronics,56.42,58
4,Muffins - Assorted,Kids,89.88,31
5,Nestea - Iced Tea,Electronics,52.36,54
6,Wine - Zinfandel California 2002,Baby,84.94,88
7,"Pesto - Primerba, Paste",Automotive,62.07,64
8,"Arctic Char - Fresh, Whole",Clothing,66.34,84
9,Raspberries - Frozen,Electronics,59.28,39
10,Wine - Clavet Saint Emilion,Garden,61.15,52
11,Cheese - Le Cheve Noir,Sports,50.84,95
12,Sauce - Chili,Books,62.63,28
13,Monkfish - Fresh,Grocery,61.26,37
14,Everfresh Products,Sports,9.14,15
15,Bread - 10 Grain Parisian,Movies,61.67,18
16,Loquat,Beauty,3.18,87
17,Beef - Texas Style Burger,Computers,61.49,85
18,Mints - Striped Red,Movies,77.25,53
19,Pastry - Apple Large,Shoes,99.82,65
20,Pepsi - 600ml,Music,39.06,52
